address,lat,lng,northeast_Lat,northeast_Lng,southwest_Lat,southwest_Lng
New York,40.7127753,-74.0059728,40.9175771,-73.70027209999999,40.4773991,-74.25908989999999
Los Angeles,34.0522342,-118.2436849,34.3373061,-118.1552891,33.7036519,-118.6681759
Chicago,41.8781136,-87.6297982,42.023131,-87.52366099999999,41.6443349,-87.9402669
Phoenix,33.4483771,-112.0740373,33.92057,-111.926046,33.29025980000001,-112.324056
San Diego,32.715738,-117.1610838,33.114249,-116.90816,32.534856,-117.3097969
San Jose,37.3382082,-121.8863286,37.4695381,-121.589154,37.124493,-122.0456719
San Francisco,37.7749295,-122.4194155,37.9298239,-122.28178,37.6398299,-123.173825
Charlotte,35.2270869,-80.8431267,35.39313300000001,-80.670104,35.0131739,-81.0095539
Baltimore,39.2903848,-76.6121893,39.3722059,-76.5294528,39.1972069,-76.71151909999999
Boston,42.3600825,-71.0588801,42.40081989999999,-70.749455,42.22788,-71.191113
Seattle,47.6062095,-122.3320708,47.734145,-122.2244331,47.4919119,-122.4596959
Washington,38.9071923,-77.0368707,38.995548,-76.909393,38.7916449,-77.119759
Denver,39.7392358,-104.990251,39.91424689999999,-104.6002959,39.614431,-105.109927
Nashville,36.1626638,-86.7816016,36.4054959,-86.5155879,35.9677851,-87.054903
Portland,45.5122308,-122.6587185,45.65288049999999,-122.472024,45.4325358,-122.8367493
Sacramento,38.5815719,-121.4943996,38.685507,-121.325705,38.437574,-121.56012
Miami,25.7616798,-80.1917902,25.855773,-80.139157,25.709042,-80.3197599
Riverside,33.9806005,-117.3754942,34.01951409999999,-117.275174,33.872517,-117.523882
Providence,41.8239891,-71.4128343,41.861571,-71.3696939,41.772414,-71.472667
